Clone	chlorophyll_pos	YFP_pos	Mean_YFP_pos	Technical_replicate	Construct
Sh ble_plate1	90.8	0.00895	1.12	TechRep_1	EV
YFP_Cys_1	67	61.4	4.39	TechRep_1	PtCys_YFP
YFP_Cys_2	27.7	66.7	5.85	TechRep_1	PtCys_YFP
YFP_Cys_3	79.5	41.8	3.55	TechRep_1	PtCys_YFP
YFP_Cys_4	46.3	55.3	4.74	TechRep_1	PtCys_YFP
YFP_Cys_5	10.7	65.4	4.97	TechRep_1	PtCys_YFP
YFP_Cys_6	76.4	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_7	66.7	54.3	4.84	TechRep_1	PtCys_YFP
YFP_Cys_8	2.42	20	1.06	TechRep_1	PtCys_YFP
YFP_Cys_9	72.2	69	5.88	TechRep_1	PtCys_YFP
YFP_Cys_10	17.6	73.1	4.41	TechRep_1	PtCys_YFP
YFP_Cys_11	81.1	73.6	4.62	TechRep_1	PtCys_YFP
YFP_Cys_12	59.6	69.3	5	TechRep_1	PtCys_YFP
YFP_Cys_13	46.8	66	6.48	TechRep_1	PtCys_YFP
YFP_Cys_14	76.5	71.9	4.72	TechRep_1	PtCys_YFP
YFP_Cys_15	52.6	56.5	4.92	TechRep_1	PtCys_YFP
YFP_Cys_16	46.3	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_17	73.3	63.2	4.15	TechRep_1	PtCys_YFP
YFP_Cys_18	31.4	32.7	4.65	TechRep_1	PtCys_YFP
YFP_Cys_19	38.7	67.4	6.24	TechRep_1	PtCys_YFP
YFP_Cys_20	87.5	56.1	3.02	TechRep_1	PtCys_YFP
YFP_Cys_21	71.4	48.4	3.87	TechRep_1	PtCys_YFP
YFP_Cys_22	67.8	0.059	1.89	TechRep_1	PtCys_YFP
YFP_Cys_23	83.6	67.2	4.73	TechRep_1	PtCys_YFP
YFP_Cys_24	7.92	0.04	1	TechRep_1	PtCys_YFP
YFP_Cys_25	70.6	51.3	4.47	TechRep_1	PtCys_YFP
YFP_Cys_26	34.6	60.6	5.03	TechRep_1	PtCys_YFP
YFP_Cys_27	86.8	6.22	1.25	TechRep_1	PtCys_YFP
YFP_Cys_28	81.7	62.6	4.26	TechRep_1	PtCys_YFP
YFP_Cys_29	69.1	0.05	3.48	TechRep_1	PtCys_YFP
YFP_Cys_30	71.9	71.1	6.58	TechRep_1	PtCys_YFP
YFP_Cys_31	65	68	4.93	TechRep_1	PtCys_YFP
YFP_Cys_32	60.2	65.1	4.55	TechRep_1	PtCys_YFP
YFP_Cys_33	75.5	60.2	3.73	TechRep_1	PtCys_YFP
YFP_Cys_34	58.9	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_35	75.3	61.2	4.01	TechRep_1	PtCys_YFP
YFP_Cys_36	0.82	0	n/a	TechRep_1	PtCys_YFP
YFP_Cys_37	75.8	66.1	4.99	TechRep_1	PtCys_YFP
YFP_Cys_38	70.7	57	5.85	TechRep_1	PtCys_YFP
YFP_Cys_39	71.9	20.2	3.1	TechRep_1	PtCys_YFP
YFP_Cys_40	54.2	59.7	6.77	TechRep_1	PtCys_YFP
YFP_Cys_41	85	64.6	4.47	TechRep_1	PtCys_YFP
YFP_Cys_42	71	70.1	7.22	TechRep_1	PtCys_YFP
YFP_Cys_43	12.1	62.7	7	TechRep_1	PtCys_YFP
YFP_Cys_44	81.3	32.6	5.39	TechRep_1	PtCys_YFP
YFP_Cys_45	74.9	65.2	8.23	TechRep_1	PtCys_YFP
